lemma,gender,declension,gs,gs_other
fu/llon,neuter,2.0,fu/llou,
qerapei/a,feminine,1.0,qerapei/as,
kata/qema,neuter,1.0,,
ku/wn,masculine,3.0,kuno\s,
ge/nos,neuter,3.0,ge/nous,
dih/ghsis,feminine,3.0,dihgh/sews,dih/ghsin
pra=gma,neuter,3.0,pra/gmatos,
au)to/pths,masculine,1.0,au)to/ptou,au)to/ptai
u(phre/ths,masculine,1.0,u(phre/tou,"u(phre/tai, u(phre/th|, u(phre/tas, u(phretw=n, u(phre/tais, u(phre/thn"
*qeo/filos,masculine,2.0,*qeofi/lou,*qeo/file
a)sfa/leia,feminine,1.0,a)sfalei/as,"a)sfa/leian, a)sfalei/a|"
*(hrw/|dhs,masculine,1.0,*(hrw/|dou,
*)ioudai/a,feminine,1.0,*)ioudai/as,
*zaxari/as,masculine,1.0,*zaxari/ou,
e)fhmeri/a,feminine,1.0,e)fhmeri/as,
*)abia/,masculine,3.0,*)abia/,
quga/thr,feminine,3.0,qugatro/s,
*)aarw/n,masculine,3.0,*)aarw/n,
*)elisa/bet,feminine,3.0,*)elisa/bet,*)elisa/bet
ta/cis,feminine,3.0,ta/cews,
e)/qos,neuter,3.0,e)/qous,"e)/qos, e)/qh, e)/qei, e)/qesi(n), e)qw=n"
i(eratei/a,feminine,1.0,i(eratei/as,
plh=qos,neuter,3.0,plh/qous,
de/hsis,feminine,3.0,deh/sews,
xara/,feminine,1.0,xara=s,
a)galli/asis,feminine,3.0,a)gallia/sews,
ge/nesis,feminine,3.0,gene/sews,
si/kera,neuter,2.0,,si/kera
*)hli/as,masculine,1.0,*)hli/ou,
fro/nhsis,feminine,3.0,fronh/sew/s,
presbu/ths,masculine,1.0,presbu/tou,
*gabrih/l,masculine,3.0,,
o)ptasi/a,feminine,1.0,o)ptasi/as,"o)ptasi/an, o)ptasi/a|, o)ptasi/as"
leitourgi/a,feminine,1.0,leitourgi/as,
oi)=kos,masculine,2.0,oi)/kou,
o)/neidos,neuter,3.0,o)nei/dou,o)/neidos
*galilai/a,feminine,1.0,*galilai/as,
*nazare/q,feminine,3.0,*nazare/q,
