Lemma,POS,genitive_singular
Ἡρῳδιανοί,noun,Ἡρῳδιανῶν
Ἡρῳδίων,noun,Ἡρῳδίωνος
Θαδδαῖος,noun,Θαδδαίου
θάρσος,noun,θάρσους
θαῦμα,noun,θαύματος
θέατρον,noun,θεάτρου
θέλησις,noun,θελήσεως
θεμέλιον,noun,θεμελίου
θεοσέβεια,noun,θεοσεβείας
Θεόφιλος,noun,Θεοφίλου
θεριστής,noun,θεριστοῦ
θεωρία,noun,θεωρίας
θήκη,noun,θήκης
θήρα,noun,θήρας
θρέμμα,noun,θρέμματος
θρίξ,noun,τριχός
θρόμβος,noun,θρόμβου
Θυάτειρα,noun,Θυατείρας
θύελλα,noun,θυέλλας
θυμιατήριον,noun,θυμιατηρίου
θυρεός,noun,θυρεοῦ
θυρωρός,noun,θυρωροῦ
Θωμᾶς,noun,Θωμᾶ
θώραξ,noun,Θεοφίλου
ἴαμα,noun,ἴαματος
ἴασπις,noun,ἰάσπιδος
Ἱεράπολις,noun,Ἱεραπόλεως
ἱεράτευμα,noun,ἱερατεύματος
ἱερεύς,noun,ἱερέως
ἱερόν,noun,ἱεροῦ
Ἱεροσόλυμα,noun,Ἱεροσολύμων
Ἱεροσολυμίτης,noun,Ἱεροσολυμίτου
Ἰεχονίας,noun,Ἰεχονίου
ἱκετηρία,noun,ἱκετηρίας
ἰκμάς,noun,ἰκμάδος
ἱλαρότης,noun,ἱλαρότητος
ἱλασμός,noun,ἱλασμοῦ
ἱμάς,noun,ἱμάντος
Ἰουδαϊσμός,noun,Ἰουδαϊσμοῦ
Ἰουλία,noun,Ἰουλίας
Ἰούλιος,noun,Ἰουλίου
Ἰουνία,noun,Ἰουνίας
ἱππεύς,noun,ἱππέως
Ἰσραηλίτης,noun,Ἰσραηλίτου
ἰχθύδιον,noun,ἰχθυδίου
Ἰωσίας,noun,Ἰωσίου
καθαίρεσις,noun,καθαιρέσεως
καθαρότης,noun,καθαρότητος
καθηγητής,noun,καθηγητοῦ
καινότης,noun,καινότητος
κακοποιός,noun,κακοποιοῦ
κάκωσις,noun,κακώσεως
καλάμη,noun,καλάμης
καλλιέλαιος,noun,καλλιελαίου
κάλυμμα,noun,καλύμματος
Καναναῖος,noun,Καναναίου
καρδιογνώστης,noun,καρδιογνώστου
κάρφος,noun,κάρφου
κατάβασις,noun,καταβάσεως
καταδίκη,noun,καταδίκης
κατάκριμα,noun,κατακρίματος
καταλαλιά,noun,καταλαλιάς
κατάλυμα,noun,καταλύματος
κατάρτισις,noun,καταρτίσεως
καταρτισμός,noun,καταρτισμοῦ
κατασκήνωσις,noun,κατασκηνώσεως
κατάσκοπος,noun,κατασκόπου
κατάστημα,noun,καταστήματος
καταστολή,noun,καταστολῆς
καταστροφή,noun,καταστροφῆς
κατάσχεσις,noun,κατασχέσεως
κατατομή,noun,κατατομῆς
καταφρονητής,noun,καταφρονητοῦ
κατηγορία,noun,κατηγορίας
κατήγορος,noun,κατηγόρου
κατήφεια,noun,κατηφείας
κατοίκησις,noun,κατοικήσεως
κατοικητήριον,noun,κατοικητηρίου
καῦμα,noun,καύματος
καύσων,noun,καύσωνος
Κεγχρεαί,noun,Κεγχρεῶν
κειρία,noun,κειρίας
κέλευσμα,noun,κελεύσματος
κενοδοξία,noun,κενοδοξίας
κενοφωνία,noun,κενοφωνίας
κέντρον,noun,κέντρου
κεραία,noun,κεραίας
κεράμιον,noun,κεραμίου
κέραμος,noun,κεράμου
κέρας,noun,κέρατος
κεράτιον,noun,κερατίου
κέρμα,noun,κέρματος
κερματιστής,noun,κερματιστοῦ
κεφαλίς,noun,κεφαλίδος
κιθάρα,noun,κιθάρας
κιθαρῳδός,noun,κιθαρῳδοῦ
κίνδυνος,noun,κινδύνου
κιννάμωμον,noun,κινναμώμου
κλάδος,noun,κλάδου
κλάσις,noun,κλάσεως
κλάσμα,noun,κλάσματος
κλείς,noun,κλειδός
κλέμμα,noun,κλέμματος
κλέπτης,noun,κλάδου
κλῆμα,noun,κλήματος
κληρονόμος,noun,κληρονόμου
κλίβανος,noun,κλιβάνου
κλίμα,noun,κλίματος
κλινάριον,noun,κλιναρίου
κλινίδιον,noun,κλινιδίου
κλισία,noun,κλισίας
κλοπή,noun,κλοπῆς
κλύδων,noun,κλύδωνος
Κνίδος,noun,Κνίδου
κοδράντης,noun,κοδράντου
κοινωνός,noun,κοινωνοῦ
κοίτη,noun,κοίτης
κόκκος,noun,κόκκου
κόλασις,noun,κολάσεως
κολλούριον,noun,κολλουρίου
κολλυβιστής,noun,κολλυβιστοῦ
Κολοσσαί,noun,Κολοσσῶν
κόλπος,noun,κόλπου
κολυμβήθρα,noun,κολυμβήθρας
κονιορτός,noun,κονιορτοῦ
κοπετός,noun,κοπετοῦ
κοπρία,noun,κοπρίας
κόπριον,noun,κοπρίου
κόραξ,noun,κόρακος
κοράσιον,noun,κορασίου
κορβανᾶς,noun,κορβανᾶ
Κορίνθιος,noun,Κορινθίου
Κόρινθος,noun,Κορίνθου
κόρος,noun,κόρου
κοσμοκράτωρ,noun,κοσμοκράτορος
κόφινος,noun,κοφίνου
κραιπάλη,noun,κραιπάλης
κρέας,noun,κρέατος
Κρής,noun,Κρητός
κριθή,noun,κριθῆς
κρίνον,noun,κρίνου
Κρίσπος,noun,Κρίσπου
κριτήριον,noun,κριτηρίου
κριτής,noun,κριτοῦ
κρύπτη,noun,κρύπτης
κρύσταλλος,noun,κρυστάλλου
κτῆμα,noun,κτήματος
κτήτωρ,noun,κτήτορος
κτίσμα,noun,κτίσματος
κτίστης,noun,κτίστου
κυβεία,noun,κυβείας
κυβέρνησις,noun,κυβερνήσεως
κυβερνήτης,noun,κυβερνήτου
κυλισμός,noun,κυλισμοῦ
κῦμα,noun,κύματος
κύμινον,noun,κυμίνου
κυνάριον,noun,κυναρίου
Κύπριος,noun,Κυπρίου
Κυρήνη,noun,Κυρήνης
κυρία,noun,κυρίας
κύων,noun,κύνος
κῶλον,noun,κώλου
κωμόπολις,noun,κωμοπόλεως
κῶμος,noun,κώμου
κώνωψ,noun,κώνωπος
Κώς,noun,Κῶ
Λάζαρος,noun,Λαζάρου
λαλιά,noun,λαλιάς
λαμπάς,noun,λαμπάδος
λαμπρότης,noun,λαμπρότητος
Λαοδικεύς,noun,Λαοδικέως
λάχανον,noun,λαχάνου
λεγιών,noun,λεγιῶνος
λειτουργός,noun,λειτουργοῦ
λέντιον,noun,λεντίου
λεπίς,noun,λεπίδος
Λευίτης,noun,Λευίτου
λήθη,noun,λήθης
λῃστής,noun,λῃστοῦ
λίβανος,noun,λιβάνου
λιβανωτός,noun,λιβανωτοῦ
Λιβερτῖνος,noun,Λιβερτίνου
λιμός,noun,λιμοῦ
λίνον,noun,λίνου
λίτρα,noun,λίτρας
λίψ,noun,λιβός
λόγιον,noun,λογίου
λογισμός,noun,λογισμοῦ
λογομαχία,noun,λογομαχίας
λόγχη,noun,λόγχης
λοίδορος,noun,λοιδόρου
λοιμός,noun,λοιμοῦ
Λυδία,noun,Λυδίας
λύκος,noun,λύκου
λύσις,noun,λύσεως
Λύστρα,noun,Λύστρας
λύτρον,noun,λύτρου
λύτρωσις,noun,λυτρώσεως
λυτρωτής,noun,λυτρωτοῦ
Λωΐς,noun,Λωΐδος
Μαγδαληνή,noun,Μαγδαληνῆς
μαγεία,noun,μαγείας
μάγος,noun,μάγου
