Lemma,POS,future_active,aorist_active,perfect_active,perfect_middle,future_passive
τίκτω,verb,τέξομαι,ἔτεκον,,,τεχθήσομαι
τιμάω,verb,τιμήσω,ἐτίμησα,,τετίμημαι,
τιμωρέω,verb,,,,,τιμωρηθήσομαι
τίνω,verb,τίσω,,,,
τολμάω,verb,,ἐτόλμησα,,,
τραυματίζω,verb,,ἐτραυμάτισα,,τετραυμάτισμαι,
τραχηλίζω,verb,,,,τετραχήλισμαι,
τρέφω,verb,,ἔθρεψα,,τέθραμμαι,
τροποφορέω,verb,,ἐτροποφόρησα,,,
τρυγάω,verb,,ἐτρύγησα,,,
τρυφάω,verb,,ἐτρύφησα,,,
τυγχάνω,verb,,ἔτυχον,τέτυχα,,
τυμπανίζω,verb,,,,,τυμπανισθήσομαι
τυφλόω,verb,,ἐτύφλωσα,τετύφλωκα,,
τυφόω,verb,,,,τετύφωμαι,τυφωθήσομαι
ὑβρίζω,verb,,ὕβρισα,,,ὑβρισθήσομαι
ὑμνέω,verb,,ὕμνησα,,,
ὑπακούω,verb,,ὑπήκουσα,,,
ὑπαντάω,verb,,ὑπήντησα,,,
ὑπεροράω,verb,,ὑπερεῖδον,,,
ὑπερπερισσεύω,verb,,ὑπερεπερίσσευσα,,,
ὑπερπλεονάζω,verb,,ὑπερεπλεόνασα,,,
ὑπερυψόω,verb,,ὑπερύψωσα,,,
ὑπηρετέω,verb,,ὑπηρέτησα,,,
ὑποβάλλω,verb,,ὑπέβαλον,,,
ὑποδέχομαι,verb,,ὑπεδεξάμην,,ὑποδέδεγμαι,
ὑποδέω,verb,,ὑπέδησα,,ὑποδέδεμαι,
ὑπολαμβάνω,verb,,ὑπέλαβον,,,
ὑπολείπω,verb,,,,,ὑπολειφθήσομαι
ὑπομένω,verb,ὑπομενῶ,ὑπέμεινα,ὑπομεμένηκα,,
ὑπομιμνῄσκω,verb,,ὑπεμνήσθην,,,ὑπομνησθήσομαι
ὑποπλέω,verb,,ὑπέπλευσα,,,
ὑποπνέω,verb,,ὑπέπνευσα,,,
ὑποστέλλω,verb,,ὑπέστειλα,,,
ὑποτάσσω,verb,,ὑπέταξα,,ὑποτέταγμαι,ὑποταγήσομαι
ὑποτίθημι,verb,,ὑπέθηκα,,,
ὑποτρέχω,verb,,ὑπέδραμον,,,
ὑποχωρέω,verb,,ὑπεχώρησα,,,
ὑστερέω,verb,,,ὑστέρηκα,,ὑστερηθήσομαι
ὑψόω,verb,ὑψώσω,ὕψωσα,,,ὑψωθήσομαι
φαίνω,verb,φανῶ,ἔφανα,,,φανήσομαι
φανερόω,verb,φανερώσω,,,πεφανέρωμαι,φανερωθήσομαι
φείδομαι,verb,φείσομαι,ἐφεισάμην,,,
φέρω,verb,οἴσω,,,,ἐνεχθήσομαι
φεύγω,verb,φεύξομαι,ἔφυγον,,,
φθάνω,verb,,ἔφθασα,,,
φθέγγομαι,verb,,ἐφθεγξάμην,,,
φθείρω,verb,φθερῶ,ἐφθείρα,,,φθαρήσομαι
φιλέω,verb,,ἐφίλησα,πεφίληκα,,
φιμόω,verb,φιμώσω,ἐφίμωσα,,πεφίμωμαι,φιμωθήσομαι
φονεύω,verb,φονεύσω,ἐφόνευσα,,,
φορέω,verb,φορέσω,ἐφόρεσα,,,
φορτίζω,verb,,,,πεφόρτισμαι,
φραγελλόω,verb,,ἐφραγέλλωσα,,,
φράζω,verb,,ἔφράσα,,,
φράσσω,verb,,ἔφραξα,,,φραγήσομαι
φρονέω,verb,φρονήσω,,,,
φρουρέω,verb,φρουρήσω,,,,
φρυάσσομαι,verb,,ἐφρύαξα,,,
φυλάσσω,verb,φυλάξω,,,,
φυσιόω,verb,,,,πεφυσίωμαι,φυσιωθήσομαι
φυτεύω,verb,,,,πεφύτευμαι,φυτευθήσομαι
φύω,verb,,,,,φυήσομαι
φωνέω,verb,φωνήσω,ἐφώνησα,,,φωνηθήσομαι
φωτίζω,verb,φωτίσω,ἐφώτισα,,πεφώτισμαι,φωτισθήσομαι
χαλάω,verb,,ἐχάλασα,,,χαλασθήσομαι
χαλιναγωγέω,verb,,ἐχαλιναγώγησα,,,
χαρίζω,verb,χαρίσομαι,ἐχάρισα,,,
χαριτόω,verb,,ἐχαρίτωσα,,κεχαρίτωμαι,
χειροτονέω,verb,,ἐχειροτόνησα,,,χειροτονηθήσομαι
χορηγέω,verb,χορηγήσω,,,,
