parsing_atom_head,parsing_atom_dependent,position
le/gousi(n)_V3PAI-P-,dw/deka_A----APM,after
le/gousi(n)_V3PAI-P-,e(pta/_A----APF,after
le/gousi(n)_V3PAI-P-,kai/_C-------,after
le/gousi(n)_V3PAI-P-,*kai/saros_N----GSM,after
le/gousi(n)_V3PAI-P-,nai/_L-------,after
le/gousi(n)_V3PAI-P-,o(/ti_C-------,after
le/gousi(n)_V3PAI-P-,pou=_B-------,after
le/gousi(n)_V3PAI-P-,prw=tos_A----NSM,after
le/gousi(n)_V3PAI-P-,staurwqh/tw_V3APM-S-,after
le/gw_V1PAI-S-,a)lla/_C-------,after
le/gw_V1PAI-S-,e)/gnw_V3AAI-S-,after
le/gw_V1PAI-S-,h)/kousan_V3AAI-P-,after
le/gw_V1PAI-S-,i(/na_C-------,after
le/gw_V1PAI-S-,kai/_C-------,after
le/gw_V1PAS-S-,ti/_I----ASN,before
le/gw_V1PAI-S-,u(mi=n_E----DP-,any
le/gwn_V-PAPNSM,moixeu/ein_V-PAN---,after
e)logi/sqh_V3API-S-,au)tw=|_E----DSM,after
me/lleis_V2PAI-S-,pa/sxein_V-PAN---,after
me/lleis_V2PAI-S-,ti/_I----ASN,before
metabai/nete_V2PAM-P-,ei)s_P-------,after
metabai/nete_V2PAM-P-,e)k_P-------,after
metoikiw=_V1FAI-S-,e)pe/keina_P-------,after
metoikiw=_V1FAI-S-,u(ma=s_E----AP-,after
e)misqw/sato_V3AMI-S-,h(ma=s_E----AP-,before
mnhmoneu/ete_V2PAM-P-,gunaiko/s_N----GSF,after
mnhmoneu/ete_V2PAM-P-,desmw=n_N----GPM,after
oi)kodo/mhse(n)_V3AAI-S-,oi)=kon_N----ASM,after
o(moiw/sw_V1FAI-S-,genea/n_N----ASF,after
o(moiw/sw_V1FAI-S-,ti/ni_I----DSN,before
e(o/raka_V1RAI-S-,*)ihsou=n_N----ASM,before
i)dei=n_V-AAN---,au)to/n_E----ASM,after
i)dei=n_V-AAN---,poih/sasan_V-AAPASF,after
i)dei=n_V-AAN---,profh/thn_N----ASM,before
i)dei=n_V-AAN---,ti/_I----ASN,before
o)/yh|_V2FMI-S-,mei/zw_A----APN,before
para/ggelle_V2PAM-S-,tau=ta_M----APN,after
paradoi=_V3AAS-S-,au)to/n_E----ASM,before
