lemma,gender,distant_determiner
*)ia/i+ros,masculine,n
r(u/sis,feminine,n
kra/spedon,neuter,n
ai)ti/a,feminine,n
a)rxisuna/gwgos,masculine,n
pai=s,feminine,n
ph/ra,feminine,n
a)rgu/rion,neuter,n
koniorto/s,masculine,n
*bhqsai+da/,feminine,n
e)pisitismo/s,masculine,n
klisi/a,feminine,n
kla/sma,neuter,n
ko/finos,masculine,n
stauro/s,masculine,n
e)/codos,feminine,n
u(/pnos,masculine,n
a)fro/s,masculine,n
megaleio/ths,feminine,n
a)na/lhmyis,feminine,n
*samari/ths,masculine,n
a)lw/phc,feminine,n
fwleo/s,masculine,n
kataskh/nwsis,feminine,n
a)/rotron,neuter,n
e)rga/ths,masculine,y
a)rh/n,masculine,n
lu/kos,masculine,n
balla/ntion,neuter,n
*xorazi/n,feminine,n
spodo/s,feminine,n
*)ierixw/,feminine,n
lh|sth/s,masculine,n
sugkuri/a,feminine,n
*leui/ths,masculine,n
trau=ma,neuter,n
pandoxei=on,neuter,n
pandoxeu/s,masculine,n
*ma/rqa,feminine,n
a)delfh/,feminine,n
meri/s,feminine,n
mesonu/ktion,neuter,n
koi/th,feminine,n
a)nai/deia,feminine,n
w)|o/n,neuter,n
do/ma,neuter,n
*beelzebou/l,masculine,n
diano/hma,neuter,n
krith/s,masculine,n
da/ktulos,masculine,n
panopli/a,feminine,n
sku=lon,neuter,n
*)iwna=s,masculine,n
*nineui/ths,masculine,n
pe/ras,neuter,n
*solomw/n,masculine,n
kh/rugma,neuter,n
kru/pth,feminine,n
mo/dios,masculine,n
fe/ggos,neuter,n
a)/riston,neuter,n
pi/nac,masculine,n
a(rpagh/,feminine,n
ponhri/a,feminine,n
e)lehmosu/nh,feminine,n
h(du/osmon,neuter,n
ph/ganon,neuter,n
la/xanon,neuter,n
prwtokaqedri/a,feminine,n
mnhmei=on,neuter,n
forti/on,neuter,n
*(/abel,masculine,n
zu/mh,feminine,y
u(po/krisis,feminine,n
skoti/a,feminine,n
tamei=on,neuter,n
ge/enna,feminine,n
strouqi/on,neuter,n
a)ssa/rion,neuter,n
klhronomi/a,feminine,n
meristh/s,masculine,n
pleoneci/a,feminine,n
trofh/,feminine,n
e)/nduma,neuter,n
ko/rac,masculine,n
kri/non,neuter,n
kli/banos,masculine,n
poi/mnion,neuter,n
sh/s,masculine,n
o)sfu/s,feminine,n
oi)kodespo/ths,masculine,n
oi)kono/mos,masculine,n
sitome/trion,neuter,n
paidi/skh,feminine,n
diamerismo/s,masculine,n
o)/mbros,masculine,n
kau/swn,masculine,n
a)nti/dikos,masculine,n
e)rgasi/a,feminine,n
pra/ktwr,masculine,n
pu/rgos,masculine,n
*silwa/m,masculine,n
o)feile/ths,masculine,n
a)mpelw/n,masculine,n
a)mpelourgo/s,masculine,n
ko/prion,neuter,n
bou=s,masculine,n
o)/nos,masculine,n
desmo/s,masculine,n
ko/kkos,masculine,n
si/napi,neuter,n
kh=pos,masculine,n
kla/dos,masculine,n
a)/leuron,neuter,n
sa/ton,neuter,n
porei/a,feminine,n
a)diki/a,feminine,n
klauqmo/s,masculine,n
brugmo/s,masculine,n
i)/asis,feminine,n
tro/pos,masculine,n
o)/rnis,feminine,n
nossia/,feminine,n
prwtoklisi/a,feminine,n
gei/twn,masculine,n
a)ntapo/doma,neuter,n
a)na/gkh,feminine,n
r(u/mh,feminine,n
fragmo/s,masculine,n
dapa/nh,feminine,n
a)partismo/s,masculine,n
presbei/a,feminine,n
a(/las,neuter,n
kopri/a,feminine,n
w)=mos,masculine,n
draxmh/,feminine,n
gei/twn,feminine,n
ou)si/a,feminine,n
limo/s,feminine,n
poli/ths,masculine,n
kera/tion,neuter,n
tra/xhlos,masculine,n
daktu/lios,masculine,n
sumfwni/a,feminine,n
xoro/s,masculine,n
e)/rifos,masculine,n
oi)konomi/a,feminine,n
ba/tos,masculine,n
gra/mma,neuter,n
ko/ros,masculine,n
mamwna=s,masculine,n
oi)ke/ths,masculine,n
kerai/a,feminine,n
bu/ssos,feminine,n
