lemma_id,lemma_text,lemma_short_def
597,a)qanati/zw,"to make immortal, to hold oneself immortal"
598,a)qa/natos,"undying, immortal"
599,a)/qaptos,unburied
600,a)qa/rh,groats
601,a)qarsh/s,"discouraged, downhearted"
602,a)qe/atos,"unseen, invisible"
603,a)qeei/,without the aid of God
604,a)qei/astos,uninspired
605,a)/qelktos,implacable
606,a)/qemis,lawless
607,a)qemi/stios,"lawless, godless"
608,a)qe/mistos,"lawless, without law"
609,a)/qeos,"without God, denying the gods"
610,a)qeo/ths,ungodliness
611,a)qerapeusi/a,neglect of
612,a)qera/peutos,uncared for
613,a)qeri/zw,"to slight, make light of"
614,a)qe/rmantos,not heated by strife
615,a)/qermos,without heat
616,a)/qesmos,
617,a)qe/sfatos,"beyond even a god's power to express: ineffable, aweful"
618,a)qete/w,to set aside
619,a)/qetos,set aside
620,a)qew/rhtos,without observation
621,a)/qhlus,unfeminine
622,*)aqh/naze,to Athens
623,*)aqh/naion,the temple of Athena
624,*)aqhnai=os,"Athenian, of"
625,*)aqh=nai,the city of Athens
626,*)aqh/nhqen,from Athens
627,*)aqh/nh,Athena
628,*)aqh/nhsin,at Athens
629,*)aqhnia/w,to long to be at Athens
630,a)qh/reutos,not hunted
631,a)qhrhloigo/s,consumer of ears of corn
632,a)/qhros,without wild beasts
633,a)qh/r,an ear of corn
634,a)qigh/s,untouched
635,a)/qiktos,untouched
636,a)qleu/w,"to contend for a prize, combat, wrestle"
637,a)qle/w,having contended with
638,a)/qlhma,a contest
639,a)/qlhsis,"a contest, struggle"
640,a)qlhth/s,a prizefighter
641,a)/qlios,gaining the prize
642,a)qlio/ths,"suffering, wretchedness"
643,a)qloqe/ths,"one who awards the prize, the judge"
644,a)=qlon,the prize of contest
645,a)=qlos,a contest for a prize
646,a)qlosu/nh,
647,a)qlofo/ros,"bearing away the prize, victorious"
648,a)/qolos,"not turbid, clear"
649,a)qo/lwtos,untroubled
650,a)qoru/bhtos,undisturbed
651,a)qo/rubos,without uproar
652,a)/qraustos,"unbroken, unhurt"
653,a)qre/w,"to look at, gaze at, observe, perceive"
654,a)qrhte/on,one must consider
655,a)qroi/zw,"to gather together, to muster"
656,a)/qroisis,"a gathering, mustering"
657,a)/qroisma,a gathering
658,a)qroiste/on,one must collect
659,a)qro/os,in crowds
660,a)/qruptos,"not broken, not enervated"
